rank,handle,title,url,sold_out_variants,total_variants,leakage,demand_proxy,price_factor,restock_priority,sold_out_variant_titles,reason
41,coffee-journal,Coffee Journal,https://bluetokaicoffee.com/products/coffee-journal,1,1,1,0.2,0.6386,0.1639,Default Title,1/1 variants sold out (Default Title); not in a merchandised collection; updated 0d ago; discounted
42,versova-cafe-tee-grey,Versova Cafe Tee (Grey),https://bluetokaicoffee.com/products/versova-cafe-tee-grey,3,4,0.75,0.2,0.6804,0.126,Small; Large; Extra Large,"3/4 variants sold out (Small, Large, Extra Large); not in a merchandised collection; updated 0d ago; discounted"
43,coffee-drip-bags,Portable Drip Bags,https://bluetokaicoffee.com/products/coffee-drip-bags,1,2,0.5,0.27,0.6479,0.1112,2 x 20 drip bags,1/2 variants sold out (2 x 20 drip bags); not in a merchandised collection; updated 0d ago
44,all-products,All Products,https://bluetokaicoffee.com/products/all-products,1,1,1,0.21,0,0.105,Default Title,1/1 variants sold out (Default Title); not in a merchandised collection; updated 0d ago
45,salted-almonds,Salted Almonds,https://bluetokaicoffee.com/products/salted-almonds,1,2,0.5,0.24,0.6313,0.0979,Pack of 2,1/2 variants sold out (Pack of 2); not in a merchandised collection; updated 0d ago
46,salted-cashews,Salted Cashews,https://bluetokaicoffee.com/products/salted-cashews,1,2,0.5,0.24,0.6313,0.0979,Pack of 2,1/2 variants sold out (Pack of 2); not in a merchandised collection; updated 0d ago
47,comfort-combo,Comfort Combo,https://bluetokaicoffee.com/products/comfort-combo,2,4,0.5,0.2,0.6802,0.084,Wheat Bran Coconut cookies; Oatmeal & cranberry cookies,"2/4 variants sold out (Wheat Bran Coconut cookies, Oatmeal & cranberry cookies); not in a merchandised collection; updated 0d ago; discounted"
48,v60-filter-paper-v01-v02,V60 Filter Paper/(V01& V02),https://bluetokaicoffee.com/products/v60-filter-paper-v01-v02,1,2,0.5,0.2,0.6198,0.081,V01,1/2 variants sold out (V01); not in a merchandised collection; updated 0d ago; discounted
49,24-delivery-easy-pour-subscription,24 Delivery Easy Pour Subscription,https://bluetokaicoffee.com/products/24-delivery-easy-pour-subscription,2,11,0.1818,0.27,0.9251,0.0473,Seethargundu Estate | Light Roast / Pack of 10; Sula Barrel Aged Blend | Medium Dark Roast / Pack of 10,"2/11 variants sold out (Seethargundu Estate | Light Roast / Pack of 10, Sula Barrel Aged Blend | Medium Dark Roast / Pack of 10); not in a merchandised collection; updated 0d ago"
50,easy-pour-subscription,3 Delivery Easy Pour Subscription,https://bluetokaicoffee.com/products/easy-pour-subscription,2,11,0.1818,0.3,0.7224,0.047,Seethargundu Estate | Light Roast / Pack of 10; Sula Barrel Aged Blend | Medium Dark Roast / Pack of 10,"2/11 variants sold out (Seethargundu Estate | Light Roast / Pack of 10, Sula Barrel Aged Blend | Medium Dark Roast / Pack of 10); not in a merchandised collection; updated 0d ago"
51,12-delivery-easy-pour-subscription,12 Delivery Easy Pour Subscription,https://bluetokaicoffee.com/products/12-delivery-easy-pour-subscription,2,11,0.1818,0.27,0.8567,0.0456,Seethargundu Estate | Light Roast / Pack of 10; Sula Barrel Aged Blend | Medium Dark Roast / Pack of 10,"2/11 variants sold out (Seethargundu Estate | Light Roast / Pack of 10, Sula Barrel Aged Blend | Medium Dark Roast / Pack of 10); not in a merchandised collection; updated 0d ago"
52,6-delivery-easy-pour-subscription,6 Delivery Easy Pour Subscription,https://bluetokaicoffee.com/products/6-delivery-easy-pour-subscription,2,11,0.1818,0.27,0.7911,0.044,Seethargundu Estate | Light Roast / Pack of 10; Sula Barrel Aged Blend | Medium Dark Roast / Pack of 10,"2/11 variants sold out (Seethargundu Estate | Light Roast / Pack of 10, Sula Barrel Aged Blend | Medium Dark Roast / Pack of 10); not in a merchandised collection; updated 0d ago"
53,coffee-french-press,Coffee + French Press,https://bluetokaicoffee.com/products/coffee-french-press,1,23,0.0435,0.14,0.7752,0.0054,Hidden Falls Estate - 250g,1/23 variants sold out (Hidden Falls Estate - 250g); not in a merchandised collection; updated 0d ago; discounted
